station id, station name, valid,temp
_1895,LJUBLJANA - BEŽIGRAD,12/06/1992,14
_1895,LJUBLJANA - BEŽIGRAD,13/06/1992,15.6
_1895,LJUBLJANA - BEŽIGRAD,14/06/1992,19.2
_1895,LJUBLJANA - BEŽIGRAD,15/06/1992,20.2
_1895,LJUBLJANA - BEŽIGRAD,16/06/1992,20.8
_1895,LJUBLJANA - BEŽIGRAD,17/06/1992,20.1
_1895,LJUBLJANA - BEŽIGRAD,18/06/1992,20.4
_1895,LJUBLJANA - BEŽIGRAD,19/06/1992,19.7
_1895,LJUBLJANA - BEŽIGRAD,20/06/1992,19.8
_1895,LJUBLJANA - BEŽIGRAD,21/06/1992,20.3
_1895,LJUBLJANA - BEŽIGRAD,22/06/1992,21
_1895,LJUBLJANA - BEŽIGRAD,23/06/1992,20
_1895,LJUBLJANA - BEŽIGRAD,24/06/1992,20.7
_1895,LJUBLJANA - BEŽIGRAD,25/06/1992,18.3
_1895,LJUBLJANA - BEŽIGRAD,26/06/1992,18.9
_1895,LJUBLJANA - BEŽIGRAD,27/06/1992,18.6
_1895,LJUBLJANA - BEŽIGRAD,28/06/1992,17.5
_1895,LJUBLJANA - BEŽIGRAD,29/06/1992,20
_1895,LJUBLJANA - BEŽIGRAD,30/06/1992,21.6
_1895,LJUBLJANA - BEŽIGRAD,01/07/1992,20.9
_1895,LJUBLJANA - BEŽIGRAD,02/07/1992,20.9
_1895,LJUBLJANA - BEŽIGRAD,03/07/1992,22.4
_1895,LJUBLJANA - BEŽIGRAD,04/07/1992,22.4
_1895,LJUBLJANA - BEŽIGRAD,05/07/1992,16.5
_1895,LJUBLJANA - BEŽIGRAD,06/07/1992,17.9
_1895,LJUBLJANA - BEŽIGRAD,07/07/1992,18.5
_1895,LJUBLJANA - BEŽIGRAD,08/07/1992,19
_1895,LJUBLJANA - BEŽIGRAD,09/07/1992,18.3
_1895,LJUBLJANA - BEŽIGRAD,10/07/1992,18.3
_1895,LJUBLJANA - BEŽIGRAD,11/07/1992,18.2
_1895,LJUBLJANA - BEŽIGRAD,12/07/1992,17.4
_1895,LJUBLJANA - BEŽIGRAD,13/07/1992,20.2
_1895,LJUBLJANA - BEŽIGRAD,14/07/1992,20.7
_1895,LJUBLJANA - BEŽIGRAD,15/07/1992,22.5
_1895,LJUBLJANA - BEŽIGRAD,16/07/1992,19.7
_1895,LJUBLJANA - BEŽIGRAD,17/07/1992,20.8
_1895,LJUBLJANA - BEŽIGRAD,18/07/1992,22.9
_1895,LJUBLJANA - BEŽIGRAD,19/07/1992,22.6
_1895,LJUBLJANA - BEŽIGRAD,20/07/1992,22.1
_1895,LJUBLJANA - BEŽIGRAD,21/07/1992,22
_1895,LJUBLJANA - BEŽIGRAD,22/07/1992,23.4
_1895,LJUBLJANA - BEŽIGRAD,23/07/1992,23
_1895,LJUBLJANA - BEŽIGRAD,24/07/1992,23.3
_1895,LJUBLJANA - BEŽIGRAD,25/07/1992,22.7
_1895,LJUBLJANA - BEŽIGRAD,26/07/1992,23.7
_1895,LJUBLJANA - BEŽIGRAD,27/07/1992,25.6
_1895,LJUBLJANA - BEŽIGRAD,28/07/1992,22.9
_1895,LJUBLJANA - BEŽIGRAD,29/07/1992,20.9
_1895,LJUBLJANA - BEŽIGRAD,30/07/1992,22.8
_1895,LJUBLJANA - BEŽIGRAD,31/07/1992,26
_1895,LJUBLJANA - BEŽIGRAD,01/08/1992,26.6
_1895,LJUBLJANA - BEŽIGRAD,02/08/1992,25.1
_1895,LJUBLJANA - BEŽIGRAD,03/08/1992,26.2
_1895,LJUBLJANA - BEŽIGRAD,04/08/1992,23.5
_1895,LJUBLJANA - BEŽIGRAD,05/08/1992,23.1
_1895,LJUBLJANA - BEŽIGRAD,06/08/1992,24.7
_1895,LJUBLJANA - BEŽIGRAD,07/08/1992,25.6
_1895,LJUBLJANA - BEŽIGRAD,08/08/1992,25.5
_1895,LJUBLJANA - BEŽIGRAD,09/08/1992,26.5
_1895,LJUBLJANA - BEŽIGRAD,10/08/1992,22.9
